UGS,CATEGORIE,PRODUIT,PRIX,TAG,ORDER MENU,DESCRIPTION
23102001000,HANDLEBAR TC 50 2020,HANDLEBAR D=22 MM TC 50,"45,5",1,1,1
45202091000,HANDLEBAR TC 50 2020,THROTTLE CABLE 50SX       2012,"18,9",3,2,1
46102010100,HANDLEBAR TC 50 2020,THROTTLE GRIP 65 SX 02,"43,8",4,3,1
46302021000,HANDLEBAR TC 50 2020,GRIP-SET,"14,9",5,4,1
50302020000-1,HANDLEBAR TC 50 2020,CACHE POIGNEE GAZ 97,"8,75",7,5,1
50311089200-1,HANDLEBAR TC 50 2020,CONTACTEUR COUPE CIRCUIT     02,"19,5",9,6,
45011089044,HANDLEBAR TC 50 2020,CONTACT. DE MASSE AVEC CABLE D,"39,6",10,7,
44011076200,HANDLEBAR TC 50 2020,INCENDIE DES FILS 200MM,"0,3",15,8,
44011076140,HANDLEBAR TC 50 2020,"Collier pour c»bles 2,5x140","0,3",15,9,
