UGS,CATEGORIE,PRODUIT,PRIX,TAG,ORDER MENU,DESCRIPTION
03187T0201,AMORTISSEUR TC 50 2020,MONOSHOCK 50 SX/TC 20,"535,5",1,1,1
69004089000,AMORTISSEUR TC 50 2020,HH COLLAR SCREW M10X42 WS13 08,"2,85",2,2,1
77204089000,AMORTISSEUR TC 50 2020,HH COLLAR SCREW M10X52 SW13,"1,75",3,3,1
