'UGS','CATEGORIE','PRODUIT','PRIX'
'47102001000','HANDLEBAR, CONTROLS','HANDLEBAR 85SX 2013','63,7'
'50302020000','HANDLEBAR, CONTROLS','CACHE POIGNEE GAZ 97','8,75'
'80302602044','HANDLEBAR, CONTROLS','BAR PAD CPL.','17,75'
'51502010200','HANDLEBAR, CONTROLS','THROTTLE GRIP CPL. 2ST. 13','43,9'
'80302021000','HANDLEBAR, CONTROLS','GRIP SET BLACK/WHITE','16,1'
'50311089200','HANDLEBAR, CONTROLS','CONTACTEUR COUPE CIRCUIT     02','19,5'
'51502091100','HANDLEBAR, CONTROLS','THROTTLE CABLE 2T.DOM/KEIH.','27,85'
'72002030100','HANDLEBAR, CONTROLS','MASTER CYLINDER CPL. 10MM','165,75'
'72002003000','HANDLEBAR, CONTROLS','COVER F. MASTER CYLINDER CPL.','25,35'
'72002032000','HANDLEBAR, CONTROLS','REP. KIT PISTON 10MM','30,6'
'72013002000','HANDLEBAR, CONTROLS','LEVER CPL.','37,4'
'70002038000','HANDLEBAR, CONTROLS','LEVER SCREW CPL.',15
'72002037000','HANDLEBAR, CONTROLS','MUDCOVER CLUTCH LEVER','11,05'
'72013005000','HANDLEBAR, CONTROLS','CLAMP',17
'47132063000','HANDLEBAR, CONTROLS','CLUTCH PIPE','54,6'
'0770080019','HANDLEBAR, CONTROLS','O-RING 8,00X1,00  FORMULA','0,8'
'47013025000','HANDLEBAR, CONTROLS','VIS DE DURITE','6,45'
'72002035000','HANDLEBAR, CONTROLS','SPRING FOR CLUTCH LEVER','1,4'
